id,转换后JH,XJS,JX,FW,LJCZJS,JX_design,FW_design,LJCZJS_design,关键点
1,B16-X1,0.0,0.0,202.33,N/A,N/A,N/A,N/A,0.0
2,B16-X1,11.52,0.21,202.33,11.52,N/A,N/A,N/A,0.0
3,B16-X1,39.57,0.3,199.13,39.57,N/A,N/A,N/A,0.0
4,B16-X1,67.15,0.48,227.53,67.15,N/A,N/A,N/A,0.0
5,B16-X1,95.36,0.53,246.73,95.36,N/A,N/A,N/A,0.0
6,B16-X1,123.29,0.92,206.13,123.29,N/A,N/A,N/A,0.0
7,B16-X1,132.45,1.88,197.63,132.44,N/A,N/A,N/A,1.0
8,B16-X1,141.91,2.56,194.23,141.9,N/A,N/A,N/A,0.0
9,B16-X1,151.1,3.55,193.43,151.07,N/A,N/A,N/A,0.0
10,B16-X1,160.71,4.26,188.93,160.66,N/A,N/A,N/A,0.0
11,B16-X1,170.3,5.31,184.23,170.22,N/A,N/A,N/A,0.0
12,B16-X1,179.86,6.06,184.23,179.73,N/A,N/A,N/A,0.0
13,B16-X1,189.35,7.24,184.23,189.16,N/A,N/A,N/A,0.0
14,B16-X1,198.94,8.01,184.23,198.66,N/A,N/A,N/A,0.0
15,B16-X1,208.59,8.68,182.23,208.21,N/A,N/A,N/A,0.0
16,B16-X1,218.0,9.35,182.23,217.5,N/A,N/A,N/A,0.0
17,B16-X1,227.66,10.21,182.23,227.02,N/A,N/A,N/A,0.0
18,B16-X1,237.27,11.04,182.63,236.47,N/A,N/A,N/A,0.0
19,B16-X1,246.87,11.79,182.63,245.88,N/A,N/A,N/A,0.0
20,B16-X1,256.51,12.54,182.83,255.3,N/A,N/A,N/A,0.0
21,B16-X1,266.13,13.45,182.83,264.67,N/A,N/A,N/A,0.0
22,B16-X1,275.74,14.22,183.03,274.0,N/A,N/A,N/A,0.0
23,B16-X1,285.34,15.03,183.33,283.29,N/A,N/A,N/A,0.0
24,B16-X1,294.8,15.68,185.63,292.42,N/A,N/A,N/A,0.0
25,B16-X1,304.29,16.23,185.43,301.54,N/A,N/A,N/A,0.0
26,B16-X1,313.79,17.01,185.23,310.64,N/A,N/A,N/A,0.0
27,B16-X1,323.24,17.84,185.03,319.66,N/A,N/A,N/A,0.0
28,B16-X1,352.08,18.28,185.83,347.08,N/A,N/A,N/A,2.0
29,B16-X1,380.96,18.15,185.13,374.51,N/A,N/A,N/A,0.0
30,B16-X1,390.58,18.06,184.43,383.66,N/A,N/A,N/A,0.0
31,B16-X1,400.0,18.0,185.0,392.61,N/A,N/A,N/A,0.0
32,B16-X1,410.56,18.13,184.23,402.65,N/A,N/A,N/A,0.0
33,B16-X1,439.14,18.21,183.73,429.81,N/A,N/A,N/A,0.0
34,B16-X1,467.96,18.24,184.43,457.18,N/A,N/A,N/A,0.0
35,B16-X1,497.53,18.2,184.13,485.27,N/A,N/A,N/A,0.0
36,B16-X1,526.33,18.0,183.43,512.64,N/A,N/A,N/A,0.0
37,B16-X1,555.05,17.8,183.33,539.97,N/A,N/A,N/A,0.0
38,B16-X1,583.84,17.8,183.53,567.39,N/A,N/A,N/A,0.0
39,B16-X1,612.44,17.75,183.53,594.62,N/A,N/A,N/A,0.0
40,B16-X1,641.33,17.7,182.73,622.14,N/A,N/A,N/A,0.0
41,B16-X1,670.05,17.67,182.33,649.5,N/A,N/A,N/A,0.0
42,B16-X1,698.91,18.35,185.13,676.95,N/A,N/A,N/A,0.0
43,B16-X1,727.76,19.47,190.13,704.24,N/A,N/A,N/A,0.0
44,B16-X1,756.45,19.12,189.13,731.32,N/A,N/A,N/A,0.0
45,B16-X1,784.99,18.94,188.33,758.3,N/A,N/A,N/A,0.0
46,B16-X1,813.81,18.53,187.73,785.59,N/A,N/A,N/A,0.0
47,B16-X1,842.25,18.06,187.13,812.59,N/A,N/A,N/A,0.0
48,B16-X1,871.16,17.92,187.93,840.09,N/A,N/A,N/A,0.0
49,B16-X1,899.96,17.71,188.63,867.51,N/A,N/A,N/A,0.0
50,B16-X1,928.64,17.8,187.73,894.82,N/A,N/A,N/A,0.0
51,B16-X1,957.43,17.89,187.43,922.23,N/A,N/A,N/A,0.0
52,B16-X1,985.8,17.83,186.53,949.23,N/A,N/A,N/A,0.0
53,B16-X1,1014.7,17.71,185.53,976.75,N/A,N/A,N/A,0.0
54,B16-X1,1043.5,18.33,190.33,1004.14,N/A,N/A,N/A,0.0
55,B16-X1,1072.2,17.67,191.83,1031.43,N/A,N/A,N/A,0.0
56,B16-X1,1100.73,17.35,191.83,1058.64,N/A,N/A,N/A,0.0
57,B16-X1,1129.49,17.01,191.83,1086.12,N/A,N/A,N/A,0.0
58,B16-X1,1158.3,18.85,190.63,1113.53,N/A,N/A,N/A,0.0
59,B16-X1,1186.97,19.86,188.33,1140.58,N/A,N/A,N/A,0.0
60,B16-X1,1215.69,19.74,188.43,1167.6,N/A,N/A,N/A,0.0
61,B16-X1,1244.49,19.69,188.53,1194.71,N/A,N/A,N/A,0.0
62,B16-X1,1273.1,19.46,187.83,1221.67,N/A,N/A,N/A,0.0
63,B16-X1,1301.66,19.34,187.53,1248.61,N/A,N/A,N/A,0.0
64,B16-X1,1330.23,19.01,187.33,1275.59,N/A,N/A,N/A,0.0
65,B16-X1,1359.12,18.68,187.23,1302.93,N/A,N/A,N/A,0.0
66,B16-X1,1388.13,18.55,185.63,1330.43,N/A,N/A,N/A,0.0
67,B16-X1,1417.13,18.41,183.73,1357.93,N/A,N/A,N/A,0.0
68,B16-X1,1445.79,18.23,184.43,1385.14,N/A,N/A,N/A,0.0
69,B16-X1,1474.42,17.93,185.93,1412.35,N/A,N/A,N/A,0.0
70,B16-X1,1502.75,17.58,185.53,1439.33,N/A,N/A,N/A,0.0
71,B16-X1,1531.38,17.31,185.43,1466.65,N/A,N/A,N/A,0.0
72,B16-X1,1559.79,18.89,187.83,1493.65,N/A,N/A,N/A,0.0
73,B16-X1,1588.6,19.56,188.13,1520.85,N/A,N/A,N/A,0.0
74,B16-X1,1617.26,19.47,188.43,1547.87,N/A,N/A,N/A,0.0
75,B16-X1,1646.01,19.47,188.73,1574.97,N/A,N/A,N/A,0.0
76,B16-X1,1674.62,19.88,188.13,1601.91,N/A,N/A,N/A,0.0
77,B16-X1,1703.18,20.35,187.63,1628.73,N/A,N/A,N/A,0.0
78,B16-X1,1731.84,20.43,186.93,1655.59,N/A,N/A,N/A,0.0
79,B16-X1,1760.33,20.52,186.23,1682.29,N/A,N/A,N/A,0.0
80,B16-X1,1788.91,20.13,188.63,1709.09,N/A,N/A,N/A,0.0
81,B16-X1,1817.55,19.91,190.43,1735.99,N/A,N/A,N/A,0.0
82,B16-X1,1846.15,19.75,190.23,1762.9,N/A,N/A,N/A,0.0
83,B16-X1,1874.84,19.42,190.13,1789.93,N/A,N/A,N/A,0.0
84,B16-X1,1894.16,19.12,189.63,1808.17,N/A,N/A,N/A,0.0
85,B16-X1,1923.86,19.6,189.33,1836.19,N/A,N/A,N/A,0.0
86,B16-X1,1952.25,19.6,188.83,1862.93,N/A,N/A,N/A,0.0
87,B16-X1,1981.04,19.65,188.33,1890.05,N/A,N/A,N/A,0.0
88,B16-X1,2009.68,18.8,188.43,1917.09,N/A,N/A,N/A,0.0
89,B16-X1,2038.54,18.06,188.63,1944.47,N/A,N/A,N/A,0.0
90,B16-X1,2067.11,17.0,189.03,1971.71,N/A,N/A,N/A,0.0
91,B16-X1,2096.0,15.78,189.43,1999.43,N/A,N/A,N/A,0.0
92,B16-X1,2124.61,16.88,188.83,2026.89,N/A,N/A,N/A,0.0
93,B16-X1,2153.4,16.83,188.13,2054.44,N/A,N/A,N/A,0.0
94,B16-X1,2181.95,17.51,187.43,2081.72,N/A,N/A,N/A,0.0
95,B16-X1,2210.52,19.6,187.33,2108.8,N/A,N/A,N/A,0.0
96,B16-X1,2239.09,19.91,189.23,2135.69,N/A,N/A,N/A,0.0
97,B16-X1,2267.86,19.25,187.53,2162.79,N/A,N/A,N/A,0.0
98,B16-X1,2296.38,18.54,187.43,2189.78,N/A,N/A,N/A,0.0
99,B16-X1,2325.27,17.71,187.13,2217.23,N/A,N/A,N/A,0.0
100,B16-X1,2354.08,16.69,186.23,2244.75,N/A,N/A,N/A,0.0
101,B16-X1,2382.98,18.75,190.53,2272.28,N/A,N/A,N/A,0.0
102,B16-X1,2411.68,20.37,193.23,2299.33,N/A,N/A,N/A,0.0
103,B16-X1,2440.31,19.59,193.53,2326.23,N/A,N/A,N/A,0.0
104,B16-X1,2469.04,18.94,194.03,2353.35,N/A,N/A,N/A,0.0
105,B16-X1,2497.57,18.59,194.13,2380.37,N/A,N/A,N/A,0.0
106,B16-X1,2526.24,18.4,192.73,2407.56,N/A,N/A,N/A,0.0
107,B16-X1,2554.81,17.23,193.43,2434.76,N/A,N/A,N/A,0.0
108,B16-X1,2583.92,16.01,187.23,2462.65,N/A,N/A,N/A,0.0
109,B16-X1,2612.37,17.8,192.33,2489.87,N/A,N/A,N/A,0.0
110,B16-X1,2641.07,17.93,193.93,2517.18,N/A,N/A,N/A,0.0
111,B16-X1,2669.61,15.86,194.83,2544.49,N/A,N/A,N/A,0.0
112,B16-X1,2698.26,18.15,194.93,2571.89,N/A,N/A,N/A,0.0
113,B16-X1,2726.69,19.67,195.43,2598.78,N/A,N/A,N/A,0.0
114,B16-X1,2755.33,18.9,194.33,2625.81,N/A,N/A,N/A,0.0
115,B16-X1,2784.07,18.72,195.63,2653.02,N/A,N/A,N/A,0.0
116,B16-X1,2812.75,18.46,196.63,2680.2,N/A,N/A,N/A,0.0
117,B16-X1,2841.64,17.97,193.73,2707.64,N/A,N/A,N/A,0.0
118,B16-X1,2870.46,18.59,194.23,2735.01,N/A,N/A,N/A,0.0
119,B16-X1,2899.45,18.11,193.73,2762.53,N/A,N/A,N/A,0.0
120,B16-X1,2909.1,17.91,193.53,2771.7,N/A,N/A,N/A,0.0
121,B16-X1,2936.32,17.71,194.03,2797.62,N/A,N/A,N/A,0.0
122,B16-X1,2964.95,18.06,191.23,2824.87,N/A,N/A,N/A,0.0
123,B16-X1,2993.8,17.45,192.13,2852.34,N/A,N/A,N/A,0.0
124,B16-X1,3010.23,17.75,192.53,2868.0,N/A,N/A,N/A,0.0
125,B16-X1,3022.56,17.97,192.83,2879.74,N/A,N/A,N/A,0.0
126,B16-X1,3051.16,18.33,192.33,2906.91,N/A,N/A,N/A,0.0
127,B16-X1,3070.38,18.5,192.83,2925.15,N/A,N/A,N/A,0.0
128,B16-X1,3099.07,18.72,193.33,2952.34,N/A,N/A,N/A,0.0
129,B16-X1,3118.36,18.55,193.53,2970.62,N/A,N/A,N/A,0.0
130,B16-X1,3137.0,18.55,193.53,2988.29,N/A,N/A,N/A,0.0
131,B16-X1,3147.0,18.55,193.53,2997.77,N/A,N/A,N/A,0.0
9559,B16-X1,0.0,N/A,N/A,N/A,0.0,185.0,N/A,N/A
9560,B16-X1,142.0,N/A,N/A,N/A,0.0,185.0,142.0,N/A
9561,B16-X1,202.0,N/A,N/A,N/A,5.4,185.0,201.91,N/A
9562,B16-X1,262.0,N/A,N/A,N/A,10.8,185.0,261.29,N/A
9563,B16-X1,322.0,N/A,N/A,N/A,16.2,185.0,319.61,N/A
9564,B16-X1,342.0,N/A,N/A,N/A,18.0,185.0,338.73,N/A
9565,B16-X1,402.0,N/A,N/A,N/A,18.03,185.17,395.78,N/A
9566,B16-X1,462.0,N/A,N/A,N/A,18.06,185.34,452.83,N/A
9567,B16-X1,522.0,N/A,N/A,N/A,18.09,185.5,509.87,N/A
9568,B16-X1,582.0,N/A,N/A,N/A,18.12,185.67,566.9,N/A
9569,B16-X1,642.0,N/A,N/A,N/A,18.15,185.83,623.92,N/A
9570,B16-X1,702.0,N/A,N/A,N/A,18.18,186.0,680.93,N/A
9571,B16-X1,762.0,N/A,N/A,N/A,18.21,186.16,737.93,N/A
9572,B16-X1,822.0,N/A,N/A,N/A,18.24,186.33,794.92,N/A
9573,B16-X1,882.0,N/A,N/A,N/A,18.27,186.49,851.9,N/A
